icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,timestamp_ingest
e49957,GLO2155,Brazil,1750871583,1750871583,-46.3788,-23.8926,4122.42,false,172.8,278.73,2025-06-25T17:13:11.204425+00:00Z
e49c11,SAFE02,Brazil,1750871583,1750871583,-46.4688,-23.7635,1264.92,false,43.71,227.86,2025-06-25T17:13:11.204912+00:00Z
abcf7f,GTI8050,United States,1750871573,1750871583,-46.2241,-23.217,3390.9,false,179.71,45.7,2025-06-25T17:13:11.205120+00:00Z
e49aa8,TAM8142,Brazil,1750871565,1750871565,-56.3485,-32.991,11582.4,false,199.76,223.64,2025-06-25T17:13:11.205189+00:00Z
e49b53,GLO7631,Brazil,1750871584,1750871584,-51.4758,-28.9262,9601.2,false,232.15,33.34,2025-06-25T17:13:11.205396+00:00Z
e49b63,PSDJS,Brazil,1750871584,1750871584,-46.6422,-23.7318,990.6,false,67.42,332.26,2025-06-25T17:13:11.205553+00:00Z
e082d7,ARG1678,Argentina,1750871584,1750871584,-59.7323,-35.5328,10363.2,false,205.84,234.56,2025-06-25T17:13:11.205797+00:00Z
e49a96,AZU4849,Brazil,1750871572,1750871582,-47.7093,-24.9279,9144.0,false,204.4,194.88,2025-06-25T17:13:11.206010+00:00Z
e49a8b,AZU2762,Brazil,1750871583,1750871583,-46.3723,-22.654,11582.4,false,198.33,203.71,2025-06-25T17:13:11.206090+00:00Z
e49a86,AZU2849,Brazil,1750871584,1750871584,-47.0697,-22.9057,2430.78,false,128.1,307.33,2025-06-25T17:13:11.206183+00:00Z
e49a62,PSARO,Brazil,1750871543,1750871543,-46.665,-23.6106,807.72,false,57.37,147.45,2025-06-25T17:13:11.206248+00:00Z
e4a236,PSAVB,Brazil,1750871584,1750871584,-46.8316,-23.7845,1295.4,false,47.01,336.8,2025-06-25T17:13:11.206313+00:00Z
e4a130,TAM3066,Brazil,1750871583,1750871584,-47.9013,-24.6954,7917.18,false,190.05,229.28,2025-06-25T17:13:11.206622+00:00Z
